IDENTIFICADOR_UNICO_CABO|LOCAL_TRACADO_INICIAL|UUID_LOCAL_TRACADO_INICIAL|TIPO_LOCAL_TRACADO_INICIAL|LATITUDE_INICIAL|LONGITUDE_INICIAL|TIPO_TRACADO|SUBTIPO_TRACADO|COMPRIMENTO_GEOM_M_TRACADO|COMPRIMENTO_M_TRACADO|LOCAL_TRACADO_FINAL|UUID_LOCAL_TRACADO_FINAL|TIPO_LOCAL_TRACADO_FINAL|LATITUDE_FINAL|LONGITUDE_FINAL|UUID_EQUIPAMENTO_INICIAL|NOME_EQUIPAMENTO_INICIAL|UID_PI_EQUP_INICIAL|TIPO_PI_EQUP_INICIAL|NAME_PI_EQUP_INICIAL|LATITUDE_EQUP_INICIAL|LONGITUDE_EQUP_INICIAL|UUID_DO_EQUIPAMENTO_FINAL|NOME_EQUIPAMENTO_FINAL|UID_PI_EQUP_FINAL|TIPO_PI_EQUP_FINAL|NAME_PI_EQUP_FINAL|LATITUDE_EQUP_FINAL|LONGITUDE_EQUP_FINAL|UUID_TRACADO|TRACADO_ETIQUETA|UF|MUNICIPIO|ARMARIO|TIPO_REDE
CBL0000000002173104|PT4104|LOC0000000001802924|Poste|-29.766837400|-57.094883900|Aerial|Autossustentável|38.590000000|38.590000000|PT4105|LOC0000000001802926|Poste|-29.766838400|-57.095282900|EQP0000000002163213|I01G0464|LOC0000000001802268|Poste|PT3776|-29.766833300|-57.092594100|EQP0000000002164124|I01G0463|LOC0000000001802962|Poste|PT4123|-29.766853500|-57.097293300|ROT0000000002146842|PT4104 >> PT4105|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002173104|PT4105|LOC0000000001802926|Poste|-29.766838400|-57.095282900|Aerial|Autossustentável|29.540000000|29.540000000|PT4102|LOC0000000001802920|Poste|-29.766839200|-57.095588300|EQP0000000002163213|I01G0464|LOC0000000001802268|Poste|PT3776|-29.766833300|-57.092594100|EQP0000000002164124|I01G0463|LOC0000000001802962|Poste|PT4123|-29.766853500|-57.097293300|ROT0000000002146843|PT4105 >> PT4102|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002108997|PT4064|LOC0000000001802844|Poste|-29.775275800|-57.097854800|Aerial|Autossustentável|37.610000000|37.610000000|PT4061|LOC0000000001802838|Poste|-29.775278300|-57.098243700|EQP0000000002108822|I01G0229|LOC0000000001802666|Poste|PT3975|-29.776088200|-57.097246700|EQP0000000002108849|I01G0228|LOC0000000001802652|Poste|PT3968|-29.775849500|-57.098841500|ROT0000000002079834|PT4064 >> PT4061|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002108997|PT4063|LOC0000000001802842|Poste|-29.775272300|-57.097507100|Aerial|Autossustentável|34.890000000|34.890000000|PT4064|LOC0000000001802844|Poste|-29.775275800|-57.097854800|EQP0000000002108822|I01G0229|LOC0000000001802666|Poste|PT3975|-29.776088200|-57.097246700|EQP0000000002108849|I01G0228|LOC0000000001802652|Poste|PT3968|-29.775849500|-57.098841500|ROT0000000002079829|PT4063 >> PT4064|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002108997|PT3968|LOC0000000001802652|Poste|-29.775849500|-57.098841500|Aerial|Autossustentável|50.690000000|50.690000000|PT3967|LOC0000000001802650|Poste|-29.775392600|-57.098862400|EQP0000000002108822|I01G0229|LOC0000000001802666|Poste|PT3975|-29.776088200|-57.097246700|EQP0000000002108849|I01G0228|LOC0000000001802652|Poste|PT3968|-29.775849500|-57.098841500|ROT0000000002079802|PT3968 >> PT3967|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002108997|PT4063|LOC0000000001802842|Poste|-29.775272300|-57.097507100|Aerial|Autossustentável|25.930000000|25.930000000|PT3970|LOC0000000001802656|Poste|-29.775363800|-57.097260300|EQP0000000002108822|I01G0229|LOC0000000001802666|Poste|PT3975|-29.776088200|-57.097246700|EQP0000000002108849|I01G0228|LOC0000000001802652|Poste|PT3968|-29.775849500|-57.098841500|ROT0000000002108992|PT4063 >> PT3970|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002108997|PT3969|LOC0000000001802654|Poste|-29.775723700|-57.097253700|Aerial|Autossustentável|39.900000000|39.900000000|PT3970|LOC0000000001802656|Poste|-29.775363800|-57.097260300|EQP0000000002108822|I01G0229|LOC0000000001802666|Poste|PT3975|-29.776088200|-57.097246700|EQP0000000002108849|I01G0228|LOC0000000001802652|Poste|PT3968|-29.775849500|-57.098841500|ROT0000000002081035|PT3969 >> PT3970|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002108997|PT3975|LOC0000000001802666|Poste|-29.776088200|-57.097246700|Aerial|Autossustentável|40.410000000|40.410000000|PT3969|LOC0000000001802654|Poste|-29.775723700|-57.097253700|EQP0000000002108822|I01G0229|LOC0000000001802666|Poste|PT3975|-29.776088200|-57.097246700|EQP0000000002108849|I01G0228|LOC0000000001802652|Poste|PT3968|-29.775849500|-57.098841500|ROT0000000002081020|PT3975 >> PT3969|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002108997|PT3967|LOC0000000001802650|Poste|-29.775392600|-57.098862400|Aerial|Autossustentável|19.330000000|19.330000000|PT4062|LOC0000000001802840|Poste|-29.775282100|-57.098707800|EQP0000000002108822|I01G0229|LOC0000000001802666|Poste|PT3975|-29.776088200|-57.097246700|EQP0000000002108849|I01G0228|LOC0000000001802652|Poste|PT3968|-29.775849500|-57.098841500|ROT0000000002108991|PT3967 >> PT4062|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000002108997|PT4061|LOC0000000001802838|Poste|-29.775278300|-57.098243700|Aerial|Autossustentável|44.950000000|44.950000000|PT4062|LOC0000000001802840|Poste|-29.775282100|-57.098707800|EQP0000000002108822|I01G0229|LOC0000000001802666|Poste|PT3975|-29.776088200|-57.097246700|EQP0000000002108849|I01G0228|LOC0000000001802652|Poste|PT3968|-29.775849500|-57.098841500|ROT0000000002079841|PT4061 >> PT4062|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
CBL0000000017262103|PT2934|LOC0000000001800583|Poste|-29.760345500|-57.092732500|Aerial|Autossustentável|43.930000000|43.930000000|PT2936|LOC0000000001800587|Poste|-29.759949400|-57.092745800|EQP0000000002408846|RSUGNHUB-79|LOC0000000001800563|Poste|PT2924|-29.759856000|-57.091734700|EQP0000000017261016|I01GP2002|LOC0000000002169184|MDU|2309_97501758|-29.760192900|-57.092633000|ROT0000000002083580|PT2934 >> PT2936|RS|URUGUAIANA|RSUGN_G1I01|BARRAMENTO
