UF|MUNICIPIO|ARMARIO|TIPO_REDE|TRONCO|TIPO_CABO|IDENTIFICADOR_UNICO_LOCAL_PONTA_A|LOCAL_PONTA_A|UID_EQUIPAMENTO_A|EQUIPAMENTO_A|UID_EQUIPAMENTO_Z|EQUIPAMENTO_Z|SEQUENCIAMENTO_DO_ENCAMINHAMENTO|IDENTIFICADOR_UNICO_CABO_CONECTADO|CABO_CONECTADO|MODELO|CAPACIDADE|TIPO_DE_INSTALACAO|COMP|COMPRIMENTO_GEOMETRICO|TIPO_EQUIP1|NOME_EQUIPAMENTO_1|EQUIPAMENTO_1|UID_EQUIPAMENTO_LOGICO_1|NOME_EQUIPAMENTO_LOGICO_1|LATITUDE_EQUIP1|LONGITUDE_EQUIP1|TIPO_EQUIP2|NOME_EQUIPAMENTO_2|UID_EQUIPAMENTO_2|UID_EQUIPAMENTO_LOGICO_2|NOME_EQUIPAMENTO_LOGICO_2|LATITUDE_EQUIP2|LONGITUDE_EQUIP2|CE-T1|CE-T2|qtde_fibras|COMP_NORM
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Secundario|LOC0000000064553997|PT_ESSMJ238|EQP0000000070038847|ESSMJ-I01-SP34-SP35|EQP0000000070042531|I01G0277|2|CBL0000000070542360|FB-SP35FGPONI01G0279|DROP 12F 5MM-12|12|Cordoalha|176.200000000|153.770000000|515|I01G0280|EQP0000000070040102|EQP0000000070040102|I01G0280|-20.019755300|-40.746603700|515|I01G0279|EQP0000000070040731|EQP0000000070040731|I01G0279|-20.018897600|-40.747137400|NAO|NAO|1|200
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Secundario|LOC0000000064553997|PT_ESSMJ238|EQP0000000070038847|ESSMJ-I01-SP34-SP35|EQP0000000070042531|I01G0277|3|CBL0000000070542389|FB-SP35FGPONI01G0278|DROP 12F 5MM-12|12|Cordoalha|133.900000000|117.110000000|515|I01G0279|EQP0000000070040731|EQP0000000070040731|I01G0279|-20.018897600|-40.747137400|515|I01G0278|EQP0000000070041779|EQP0000000070041779|I01G0278|-20.019821300|-40.747402800|NAO|NAO|1|150
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Secundario|LOC0000000064553997|PT_ESSMJ238|EQP0000000070038847|ESSMJ-I01-SP34-SP35|EQP0000000070042531|I01G0277|4|CBL0000000070542926|FB-SP35FGPONI01G0277|DROP 12F 5MM-12|12|Cordoalha|68.200000000|46.510000000|515|I01G0278|EQP0000000070041779|EQP0000000070041779|I01G0278|-20.019821300|-40.747402800|515|I01G0277|EQP0000000070042531|EQP0000000070042531|I01G0277|-20.020239800|-40.747363700|NAO|NAO|1|100
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Secundario|LOC0000000064553997|PT_ESSMJ238|EQP0000000070038847|ESSMJ-I01-SP34-SP35|EQP0000000070043110|I01G0276|1|CBL0000000070541824|FB-SP35FGPONI01G0280|DROP 12F 5MM-12|12|Cordoalha|121.500000000|102.480000000|511|ESSMJ-I01-SP34-SP35|EQP0000000070038847|EQP0000000070038847|ESSMJ-I01-SP34-SP35|-20.020065300|-40.747127400|515|I01G0280|EQP0000000070040102|EQP0000000070040102|I01G0280|-20.019755300|-40.746603700|SIM|NAO|1|150
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Secundario|LOC0000000064553997|PT_ESSMJ238|EQP0000000070038847|ESSMJ-I01-SP34-SP35|EQP0000000070043110|I01G0276|2|CBL0000000070542360|FB-SP35FGPONI01G0279|DROP 12F 5MM-12|12|Cordoalha|176.200000000|153.770000000|515|I01G0280|EQP0000000070040102|EQP0000000070040102|I01G0280|-20.019755300|-40.746603700|515|I01G0279|EQP0000000070040731|EQP0000000070040731|I01G0279|-20.018897600|-40.747137400|NAO|NAO|1|200
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Secundario|LOC0000000064553997|PT_ESSMJ238|EQP0000000070038847|ESSMJ-I01-SP34-SP35|EQP0000000070043110|I01G0276|3|CBL0000000070542389|FB-SP35FGPONI01G0278|DROP 12F 5MM-12|12|Cordoalha|133.900000000|117.110000000|515|I01G0279|EQP0000000070040731|EQP0000000070040731|I01G0279|-20.018897600|-40.747137400|515|I01G0278|EQP0000000070041779|EQP0000000070041779|I01G0278|-20.019821300|-40.747402800|NAO|NAO|1|150
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Secundario|LOC0000000064553997|PT_ESSMJ238|EQP0000000070038847|ESSMJ-I01-SP34-SP35|EQP0000000070043110|I01G0276|4|CBL0000000070542926|FB-SP35FGPONI01G0277|DROP 12F 5MM-12|12|Cordoalha|68.200000000|46.510000000|515|I01G0278|EQP0000000070041779|EQP0000000070041779|I01G0278|-20.019821300|-40.747402800|515|I01G0277|EQP0000000070042531|EQP0000000070042531|I01G0277|-20.020239800|-40.747363700|NAO|NAO|1|100
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Secundario|LOC0000000064553997|PT_ESSMJ238|EQP0000000070038847|ESSMJ-I01-SP34-SP35|EQP0000000070043110|I01G0276|5|CBL0000000070543241|FB-SP35FGPONI01G0276|DROP 12F 5MM-12|12|Cordoalha|38.300000000|22.320000000|515|I01G0277|EQP0000000070042531|EQP0000000070042531|I01G0277|-20.020239800|-40.747363700|515|I01G0276|EQP0000000070043110|EQP0000000070043110|I01G0276|-20.020441000|-40.747349400|NAO|NAO|1|100
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Secundario|LOC0000000064553997|PT_ESSMJ238|EQP0000000070038847|ESSMJ-I01-SP34-SP35|EQP0000000070044152|I01G0272|1|CBL0000000070541299|FB-SP34FGPONI01G0272|DROP 12F 5MM-12|12|Cordoalha|117.300000000|105.540000000|511|ESSMJ-I01-SP34-SP35|EQP0000000070038847|EQP0000000070038847|ESSMJ-I01-SP34-SP35|-20.020065300|-40.747127400|515|I01G0272|EQP0000000070044152|EQP0000000070044152|I01G0272|-20.020264500|-40.746620600|SIM|NAO|1|150
ES|SANTA MARIA DE JETIBA|ESSMJ_G1I01|BARRAMENTO|BR-ESSMJ01-DGO1|Secundario|LOC0000000064553997|PT_ESSMJ238|EQP0000000070038847|ESSMJ-I01-SP34-SP35|EQP0000000070044423|I01G0271|1|CBL0000000070541299|FB-SP34FGPONI01G0272|DROP 12F 5MM-12|12|Cordoalha|117.300000000|105.540000000|511|ESSMJ-I01-SP34-SP35|EQP0000000070038847|EQP0000000070038847|ESSMJ-I01-SP34-SP35|-20.020065300|-40.747127400|515|I01G0272|EQP0000000070044152|EQP0000000070044152|I01G0272|-20.020264500|-40.746620600|SIM|NAO|1|150
